Date,City,State,Scenario,Latitude,Longitude,AQI,PM2.5,PM10,NO2,CO,Temperature,Humidity,WindSpeed,Traffic,ConstructionActivity,IndustrialActivity,RiskZone,Hotspot
06-07-2026,Kolkata,West Bengal,Industrial Peak,22.5726,88.3639,254,124,208,65,1.8,32,74,12,High,High,High,Poor,TRUE
07-07-2026,Kolkata,West Bengal,Industrial Peak,22.5726,88.3639,257,125,210,65,1.82,32,74,12,High,High,High,Poor,TRUE
01-07-2026,Ahmedabad,Gujarat,Normal,23.0225,72.5714,189,85,160,49,1.39,38,42,13,High,High,Medium,Moderate,FALSE
02-07-2026,Ahmedabad,Gujarat,Normal,23.0225,72.5714,192,86,162,49,1.4,38,42,13,High,High,Medium,Moderate,FALSE
03-07-2026,Ahmedabad,Gujarat,Normal,23.0225,72.5714,195,87,164,49,1.41,38,42,13,High,High,Medium,Moderate,FALSE
04-07-2026,Ahmedabad,Gujarat,Normal,23.0225,72.5714,198,89,166,50,1.43,38,42,13,High,High,Medium,Moderate,FALSE
05-07-2026,Ahmedabad,Gujarat,Normal,23.0225,72.5714,189,85,160,49,1.39,38,42,13,High,High,Medium,Moderate,FALSE
06-07-2026,Ahmedabad,Gujarat,Normal,23.0225,72.5714,192,86,162,49,1.4,38,42,13,High,High,Medium,Moderate,FALSE
07-07-2026,Ahmedabad,Gujarat,Normal,23.0225,72.5714,195,87,164,49,1.41,38,42,13,High,High,Medium,Moderate,FALSE
01-07-2026,Ahmedabad,Gujarat,Festival,23.0225,72.5714,259,122,215,61,1.73,39,39,11,High,High,Medium,Poor,TRUE
02-07-2026,Ahmedabad,Gujarat,Festival,23.0225,72.5714,262,124,218,61,1.75,39,39,11,High,High,Medium,Poor,TRUE
03-07-2026,Ahmedabad,Gujarat,Festival,23.0225,72.5714,265,126,220,62,1.76,39,39,11,High,High,Medium,Poor,TRUE
04-07-2026,Ahmedabad,Gujarat,Festival,23.0225,72.5714,268,127,222,62,1.78,39,39,11,High,High,Medium,Poor,TRUE
05-07-2026,Ahmedabad,Gujarat,Festival,23.0225,72.5714,259,122,215,61,1.73,39,39,11,High,High,Medium,Poor,TRUE
06-07-2026,Ahmedabad,Gujarat,Festival,23.0225,72.5714,262,124,218,61,1.75,39,39,11,High,High,Medium,Poor,TRUE
07-07-2026,Ahmedabad,Gujarat,Festival,23.0225,72.5714,265,126,220,62,1.76,39,39,11,High,High,Medium,Poor,TRUE
01-07-2026,Ahmedabad,Gujarat,Rainy,23.0225,72.5714,129,52,112,38,1.08,37,50,17,Low,High,Medium,Moderate,FALSE
02-07-2026,Ahmedabad,Gujarat,Rainy,23.0225,72.5714,132,53,114,39,1.1,37,50,17,Low,High,Medium,Moderate,FALSE
03-07-2026,Ahmedabad,Gujarat,Rainy,23.0225,72.5714,135,55,117,39,1.11,37,50,17,Low,High,Medium,Moderate,FALSE
04-07-2026,Ahmedabad,Gujarat,Rainy,23.0225,72.5714,138,57,119,40,1.13,37,50,17,Low,High,Medium,Moderate,FALSE
05-07-2026,Ahmedabad,Gujarat,Rainy,23.0225,72.5714,129,52,112,38,1.08,37,50,17,Low,High,Medium,Moderate,FALSE
06-07-2026,Ahmedabad,Gujarat,Rainy,23.0225,72.5714,132,53,114,39,1.1,37,50,17,Low,High,Medium,Moderate,FALSE
07-07-2026,Ahmedabad,Gujarat,Rainy,23.0225,72.5714,135,55,117,39,1.11,37,50,17,Low,High,Medium,Moderate,FALSE
01-07-2026,Ahmedabad,Gujarat,Industrial Peak,23.0225,72.5714,229,106,191,55,1.58,38,42,13,High,High,Medium,Poor,TRUE
02-07-2026,Ahmedabad,Gujarat,Industrial Peak,23.0225,72.5714,232,108,194,56,1.6,38,42,13,High,High,Medium,Poor,TRUE
03-07-2026,Ahmedabad,Gujarat,Industrial Peak,23.0225,72.5714,235,109,196,56,1.61,38,42,13,High,High,Medium,Poor,TRUE
04-07-2026,Ahmedabad,Gujarat,Industrial Peak,23.0225,72.5714,238,111,198,57,1.63,38,42,13,High,High,Medium,Poor,TRUE
05-07-2026,Ahmedabad,Gujarat,Industrial Peak,23.0225,72.5714,229,106,191,55,1.58,38,42,13,High,High,Medium,Poor,TRUE
06-07-2026,Ahmedabad,Gujarat,Industrial Peak,23.0225,72.5714,232,108,194,56,1.6,38,42,13,High,High,Medium,Poor,TRUE
07-07-2026,Ahmedabad,Gujarat,Industrial Peak,23.0225,72.5714,235,109,196,56,1.61,38,42,13,High,High,Medium,Poor,TRUE
01-07-2026,Jaipur,Rajasthan,Normal,26.9124,75.7873,168,75,142,44,1.19,37,40,17,Medium,High,Medium,Moderate,FALSE
02-07-2026,Jaipur,Rajasthan,Normal,26.9124,75.7873,171,76,144,44,1.2,37,40,17,Medium,High,Medium,Moderate,FALSE
03-07-2026,Jaipur,Rajasthan,Normal,26.9124,75.7873,174,77,146,44,1.21,37,40,17,Medium,High,Medium,Moderate,FALSE
04-07-2026,Jaipur,Rajasthan,Normal,26.9124,75.7873,177,79,148,45,1.23,37,40,17,Medium,High,Medium,Moderate,FALSE
05-07-2026,Jaipur,Rajasthan,Normal,26.9124,75.7873,168,75,142,44,1.19,37,40,17,Medium,High,Medium,Moderate,FALSE
06-07-2026,Jaipur,Rajasthan,Normal,26.9124,75.7873,171,76,144,44,1.2,37,40,17,Medium,High,Medium,Moderate,FALSE
07-07-2026,Jaipur,Rajasthan,Normal,26.9124,75.7873,174,77,146,44,1.21,37,40,17,Medium,High,Medium,Moderate,FALSE
01-07-2026,Jaipur,Rajasthan,Festival,26.9124,75.7873,238,112,197,56,1.53,38,37,15,High,High,Medium,Poor,TRUE
02-07-2026,Jaipur,Rajasthan,Festival,26.9124,75.7873,241,114,200,56,1.55,38,37,15,High,High,Medium,Poor,TRUE
03-07-2026,Jaipur,Rajasthan,Festival,26.9124,75.7873,244,116,202,57,1.56,38,37,15,High,High,Medium,Poor,TRUE
04-07-2026,Jaipur,Rajasthan,Festival,26.9124,75.7873,247,117,204,57,1.58,38,37,15,High,High,Medium,Poor,TRUE
05-07-2026,Jaipur,Rajasthan,Festival,26.9124,75.7873,238,112,197,56,1.53,38,37,15,High,High,Medium,Poor,TRUE
06-07-2026,Jaipur,Rajasthan,Festival,26.9124,75.7873,241,114,200,56,1.55,38,37,15,High,High,Medium,Poor,TRUE
07-07-2026,Jaipur,Rajasthan,Festival,26.9124,75.7873,244,116,202,57,1.56,38,37,15,High,High,Medium,Poor,TRUE
01-07-2026,Jaipur,Rajasthan,Rainy,26.9124,75.7873,108,42,94,33,0.89,36,48,21,Low,High,Medium,Moderate,FALSE
02-07-2026,Jaipur,Rajasthan,Rainy,26.9124,75.7873,111,43,96,34,0.9,36,48,21,Low,High,Medium,Moderate,FALSE
03-07-2026,Jaipur,Rajasthan,Rainy,26.9124,75.7873,114,45,99,34,0.91,36,48,21,Low,High,Medium,Moderate,FALSE
04-07-2026,Jaipur,Rajasthan,Rainy,26.9124,75.7873,117,47,101,35,0.93,36,48,21,Low,High,Medium,Moderate,FALSE
05-07-2026,Jaipur,Rajasthan,Rainy,26.9124,75.7873,108,42,94,33,0.89,36,48,21,Low,High,Medium,Moderate,FALSE
06-07-2026,Jaipur,Rajasthan,Rainy,26.9124,75.7873,111,43,96,34,0.9,36,48,21,Low,High,Medium,Moderate,FALSE
07-07-2026,Jaipur,Rajasthan,Rainy,26.9124,75.7873,114,45,99,34,0.91,36,48,21,Low,High,Medium,Moderate,FALSE
01-07-2026,Jaipur,Rajasthan,Industrial Peak,26.9124,75.7873,208,96,173,50,1.39,37,40,17,High,High,Medium,Poor,TRUE
02-07-2026,Jaipur,Rajasthan,Industrial Peak,26.9124,75.7873,211,98,176,51,1.4,37,40,17,High,High,Medium,Poor,TRUE
03-07-2026,Jaipur,Rajasthan,Industrial Peak,26.9124,75.7873,214,99,178,51,1.42,37,40,17,High,High,Medium,Poor,TRUE
04-07-2026,Jaipur,Rajasthan,Industrial Peak,26.9124,75.7873,217,101,180,52,1.43,37,40,17,High,High,Medium,Poor,TRUE
05-07-2026,Jaipur,Rajasthan,Industrial Peak,26.9124,75.7873,208,96,173,50,1.39,37,40,17,High,High,Medium,Poor,TRUE
06-07-2026,Jaipur,Rajasthan,Industrial Peak,26.9124,75.7873,211,98,176,51,1.4,37,40,17,High,High,Medium,Poor,TRUE
07-07-2026,Jaipur,Rajasthan,Industrial Peak,26.9124,75.7873,214,99,178,51,1.42,37,40,17,High,High,Medium,Poor,TRUE
01-07-2026,Lucknow,Uttar Pradesh,Normal,26.8467,80.9462,235,117,196,65,1.79,34,61,9,High,High,High,Poor,TRUE
02-07-2026,Lucknow,Uttar Pradesh,Normal,26.8467,80.9462,238,118,198,65,1.8,34,61,9,High,High,High,Poor,TRUE
03-07-2026,Lucknow,Uttar Pradesh,Normal,26.8467,80.9462,241,119,200,65,1.81,34,61,9,High,High,High,Poor,TRUE
04-07-2026,Lucknow,Uttar Pradesh,Normal,26.8467,80.9462,244,121,202,66,1.83,34,61,9,High,High,High,Poor,TRUE
05-07-2026,Lucknow,Uttar Pradesh,Normal,26.8467,80.9462,235,117,196,65,1.79,34,61,9,High,High,High,Poor,TRUE
06-07-2026,Lucknow,Uttar Pradesh,Normal,26.8467,80.9462,238,118,198,65,1.8,34,61,9,High,High,High,Poor,TRUE
07-07-2026,Lucknow,Uttar Pradesh,Normal,26.8467,80.9462,241,119,200,65,1.81,34,61,9,High,High,High,Poor,TRUE
01-07-2026,Lucknow,Uttar Pradesh,Festival,26.8467,80.9462,305,154,251,77,2.14,35,58,7,High,High,High,Very Poor,TRUE
02-07-2026,Lucknow,Uttar Pradesh,Festival,26.8467,80.9462,308,156,254,77,2.15,35,58,7,High,High,High,Very Poor,TRUE
03-07-2026,Lucknow,Uttar Pradesh,Festival,26.8467,80.9462,311,158,256,78,2.17,35,58,7,High,High,High,Very Poor,TRUE
04-07-2026,Lucknow,Uttar Pradesh,Festival,26.8467,80.9462,314,159,258,78,2.18,35,58,7,High,High,High,Very Poor,TRUE
05-07-2026,Lucknow,Uttar Pradesh,Festival,26.8467,80.9462,305,154,251,77,2.14,35,58,7,High,High,High,Very Poor,TRUE
06-07-2026,Lucknow,Uttar Pradesh,Festival,26.8467,80.9462,308,156,254,77,2.15,35,58,7,High,High,High,Very Poor,TRUE
07-07-2026,Lucknow,Uttar Pradesh,Festival,26.8467,80.9462,311,158,256,78,2.17,35,58,7,High,High,High,Very Poor,TRUE
01-07-2026,Lucknow,Uttar Pradesh,Rainy,26.8467,80.9462,175,84,148,54,1.49,33,69,13,Low,High,High,Moderate,FALSE
02-07-2026,Lucknow,Uttar Pradesh,Rainy,26.8467,80.9462,178,85,150,55,1.5,33,69,13,Low,High,High,Moderate,FALSE
03-07-2026,Lucknow,Uttar Pradesh,Rainy,26.8467,80.9462,181,87,153,55,1.52,33,69,13,Low,High,High,Moderate,FALSE
04-07-2026,Lucknow,Uttar Pradesh,Rainy,26.8467,80.9462,184,89,155,56,1.53,33,69,13,Low,High,High,Moderate,FALSE
05-07-2026,Lucknow,Uttar Pradesh,Rainy,26.8467,80.9462,175,84,148,54,1.49,33,69,13,Low,High,High,Moderate,FALSE
06-07-2026,Lucknow,Uttar Pradesh,Rainy,26.8467,80.9462,178,85,150,55,1.5,33,69,13,Low,High,High,Moderate,FALSE
07-07-2026,Lucknow,Uttar Pradesh,Rainy,26.8467,80.9462,181,87,153,55,1.52,33,69,13,Low,High,High,Moderate,FALSE
01-07-2026,Lucknow,Uttar Pradesh,Industrial Peak,26.8467,80.9462,275,138,227,71,1.99,34,61,9,High,High,High,Poor,TRUE
02-07-2026,Lucknow,Uttar Pradesh,Industrial Peak,26.8467,80.9462,278,140,230,72,2,34,61,9,High,High,High,Poor,TRUE
03-07-2026,Lucknow,Uttar Pradesh,Industrial Peak,26.8467,80.9462,281,141,232,72,2.02,34,61,9,High,High,High,Poor,TRUE
04-07-2026,Lucknow,Uttar Pradesh,Industrial Peak,26.8467,80.9462,284,143,234,73,2.03,34,61,9,High,High,High,Poor,TRUE
05-07-2026,Lucknow,Uttar Pradesh,Industrial Peak,26.8467,80.9462,275,138,227,71,1.99,34,61,9,High,High,High,Poor,TRUE
06-07-2026,Lucknow,Uttar Pradesh,Industrial Peak,26.8467,80.9462,278,140,230,72,2,34,61,9,High,High,High,Poor,TRUE
07-07-2026,Lucknow,Uttar Pradesh,Industrial Peak,26.8467,80.9462,281,141,232,72,2.02,34,61,9,High,High,High,Poor,TRUE
